gene_name	Calu3_COV2_Rep1	Calu3_COV2_Rep2	Calu3_COV2_Rep3
A1BG	1.146240625180289	2.032320754236242	0
A1CF	0.75	0.5	0
A2M	0	0.396240625180289	0
A2ML1	0.3128846917489909	0.23240266802715037	-1.1102230246251565e-16
A3GALT2	1.688721875540867	1.688721875540867	1.146240625180289
A4GALT	-0.25	-0.25	0.396240625180289
A4GNT	-0.5126565182674919	-0.714495248781893	-0.964495248781893
AAAS	0.5804820237218405	0	0.396240625180289
AACS	0	0.896240625180289	0.25
AADAC	-1.9097597933692372	-1.4755183948276858	-2.306000418549526
AADACL2	0.896240625180289	0.5	1.7692038992627075
AADACL3	1.80720467262397	2.1044631287214743	0.25
AADACL4	0.396240625180289	0	0.951838730514401
AADAT	1.0804820237218407	1.146240625180289	1.2267226489021295
AAED1	-0.6308904890142533	-0.03281113331956309	-0.10902477870166849
AAGAB	1.175109929535273	0.14624062518028902	0.792481250360578
AAK1	1.2823207542362416	1	0
AAMDC	3.5060251950632275	1.292481250360578	0.896240625180289
AAMP	-0.646240625180289	-1.146240625180289	-1.146240625180289
AANAT	1.659357480153823	1.6536774610288023	-0.9387218755408671
AAR2	0.8648579046593243	0.5	0
AARD	0.5906425198461769	-1.0980793556946902	0.9342413985415514
AARS	-1.160964047443681	-1.160964047443681	-1.160964047443681
AARS2	-0.8304820237218405	-0.8304820237218405	-0.8304820237218405
AASDH	0.896240625180289	0	0.396240625180289
AASDHPPT	0.896240625180289	0.5804820237218405	0.396240625180289
AASS	0.25	1.3119818783608963	0.25
AATK	-0.646240625180289	-1.146240625180289	-1.146240625180289
ABAT	-0.8480793556946902	-1.0980793556946902	-0.3480793556946902
ABCA1	0.14624062518028902	0.33048202372184055	0.14624062518028902
ABCA10	-0.08425874681939272	-1.146240625180289	0
ABCA12	0.12326000282002925	0.4342413985415515	-1.188721875540867
ABCA13	-0.10375937481971098	0.41383795715313854	-1.0804820237218407
ABCA2	-1.1308904890142533	-1.1308904890142533	-0.5504084652924127
ABCA3	-1.2267226489021297	-1.2267226489021297	-0.7267226489021297
ABCA4	1	0	0
ABCA5	-0.25	0.75	0.25
ABCA6	0.396240625180289	0.701838730514401	0
ABCA7	1.214495248781893	0	0.5
ABCA8	0.25	0.396240625180289	1.5
ABCA9	1.792481250360578	0.396240625180289	0.75
ABCB1	0.5148752529371655	-1.4962232769024477	-1.0276059974234126
ABCB10	1.6785613794165306	0.396240625180289	0
ABCB11	0.75	0.646240625180289	0.701838730514401
ABCB4	1.688721875540867	0	1.042481250360578
ABCB5	1.6573391550199024	1.5619818783608963	1.0804820237218404
ABCB6	1.146240625180289	1.410964047443681	0.25
ABCB7	2.8924639020827367	0	0
ABCB8	0.5804820237218405	0.701838730514401	1.292481250360578
ABCB9	1.5713505547155622	0.5804820237218405	0.396240625180289
ABCC1	-1.3480793556946902	-0.2171888666804369	-1.3480793556946902
ABCC10	0.646240625180289	0.75	0
ABCC11	1	0	0.646240625180289
ABCC12	0.396240625180289	0.25	0
ABCC2	0	1.042481250360578	0.792481250360578
ABCC3	0.8648579046593243	2.852347734034425	0.646240625180289
ABCC4	0.25	0.5	0.75
ABCC5	-0.4619992266387375	0	-1.042481250360578
ABCC6	0	1.438721875540867	0.5
ABCC8	0.9767226489021297	1.292481250360578	0.646240625180289
ABCC9	0.646240625180289	0.75	0
ABCD1	2.178561379416531	0.646240625180289	0
ABCD2	0.7813827205209647	-0.36485790465932433	-0.7186172794790353
ABCD3	-0.75	-1.146240625180289	-1.146240625180289
ABCD4	-1.1267399971799708	-2.042481250360578	-2.438721875540867
ABCE1	0	0.5	0
ABCF1	1	0	0
ABCF2	-0.646240625180289	0.43424139854155164	-0.2813827205209647
ABCF3	0	0	1.2718657103125848
ABCG1	-3.3311857776236042	-3.0811857776236042	-1.1657412531806073
ABCG2	0.896240625180289	0	0
ABCG4	-0.2119992266387375	2.338102829867748	-0.646240625180289
ABCG5	0.925109929535273	0	0.5
ABCG8	0.7232711990208719	-0.20183873051440115	-0.8480793556946902
ABHD1	-0.6462406251802891	0.3713567067925604	-1.2267226489021297
ABHD10	0	2.6044631287214743	1.25
ABHD11	1.3119818783608963	0.25	1.2610985298396133
ABHD12	1.4767226489021295	0.646240625180289	0.646240625180289
ABHD12B	0.658897143447781	0.8671923708041583	-0.7018387305144009
ABHD13	-0.38089048901425326	-1.1308904890142533	-1.1308904890142533
ABHD14A-ACY1	0.5	1.042481250360578	1.146240625180289
ABHD14B	1.646240625180289	0.5	0.5
ABHD15	-1.188721875540867	-1.188721875540867	-0.43872187554086706
ABHD16A	0	0.5	1.6681063354928738
ABHD16B	1.1994890560138385	-1.1148579046593243	-0.6148579046593243
ABHD17A	1	1.1751099295352732	0.646240625180289
ABHD17B	0.3802080408253601	1.0578313865266138	-0.8808904890142533
ABHD17C	0	0.396240625180289	0.25
ABHD2	1.653677461028802	0	0.25
ABHD3	-0.36266535225239127	-1.339388001154521	-0.27740612279362464
